ลำดับ,รหัสวิชา,ชื่อวิชา,หน่วยกิจ,ประเภทวิชา
45,01213212-65,"	Materials Science for Engineers
วัสดุศาสตร์สำหรับวิศวกร","3(3-0-6)	",หมวดวิชาเฉพาะ
46,01355111-60,"Foundation English I
ภาษาอังกฤษ 1",-,หมวดวิชาศึกษาทั่วไป
47,01355112-60,"Foundation English II 
ภาษาอังกฤษ II",3(3-0-6),หมวดวิชาศึกษาทั่วไป
48,01355113-60,"Foundation English III 
ภาษาอังกฤษ III",3(3-0-6),หมวดวิชาศึกษาทั่วไป
49,01403114-60,"Laboratory in Fundamental of General Chemistry 
ปฏิบัติการหลักมูลเคมีทั่วไป",1(0-3-2),หมวดวิชาเฉพาะ
50,01403117-60,"Fundamental of General Chemistry 
หลักมูลเคมีทั่วไป",3(3-0-6),หมวดวิชาเฉพาะ
51,01204111-60,"Computers and Programming 
คอมพิวเตอร์และการโปรแกรม",3(2-3-6),หมวดวิชาเฉพาะ
52,01208111-60,"Engineering Drawing 
การเขียนแบบวิศวกรรม",3(2-3-6),หมวดวิชาเฉพาะ
53,01208221-60,"Engineering Mechanics I 
กลศาสตร์วิศวกรรม I",3(3-0-6),หมวดวิชาเฉพาะ
54,01213211-60,"Materials Science for Engineers 
วัสดุศาสตร์สำหรับวิศวกร",3(3-0-6),หมวดวิชาเฉพาะ
55,03600390-65,"Co-operative Education Preparation
การเตรียมความพร้อมสหกิจศึกษา",3(3-0-6),วิชาสหกิจศึกษา
56,03600490-65,"Co-operative Education
สหกิจศึกษา",6,วิชาสหกิจศึกษา
57,01203211-60,"Surveying 
การสำรวจ",3(2-3-6),T05
58,01203212-60,"Survey Camp 
การฝึกงานสำรวจ",1,T05
59,01203221-60,"Mechanics of Materials I 
กลศาสตร์ของวัสดุ I",3(3-0-6),T05
60,01203222-60,"Structural Analysis I 
การวิเคราะห์โครงสร้าง I",3(3-0-6),T05
61,01203223-60,"Mechanics of Materials II 
กลศาสตร์ของวัสดุ II",3(3-0-6),T05
62,01203224-60,"Applied Mathematics for Civil Engineering 
คณิตศาสตร์ประยุกต์สำหรับวิศวกรรมโยธา",3(3-0-6),T05
63,01203231-60,"Concrete and Engineering Materials 
คอนกรีตและวัสดุวิศวกรรม",3(2-3-6),T05
64,01203251-60,"Engineering Geology 
ธรณีวิทยาทางวิศวกรรม",3(3-0-6),T05
65,01203322-60,"Civil Engineering Materials Testing Laboratory 
ปฏิบัติการทดสอบวัสดุวิศวกรรมโยธา",1(0-3-2),T05
66,01203323-60,"Structural Analysis II 
การวิเคราะห์โครงสร้าง III",3(3-0-6),T05
67,01203331-60,"Reinforced Concrete Design 
การออกแบบคอนกรีตเสริมเหล็ก",4(3-3-8),T05
68,01203333-60,"Design of Timber and Steel Structures 
การออกแบบโครงสร้างไม้และเหล็ก",4(3-3-8),T05
69,01203352-60,"Soil Mechanics 
ปฐพีกลศาสตร์",3(3-0-6),T05
70,01203353-60,"Soil Mechanics Laboratory
ปฏิบัติการปฐพีกลศาสตร์",1(0-3-2),T05
71,01203354-60,"Foundation Design 
การออกแบบฐานราก",3(3-0-6),T05
72,01203361-60,"Construction Engineering and Management 
วิศวกรรมก่อสร้างและการจัดการ",3(3-0-6),T05
73,01203371-60,"Transportation Engineering 
วิศวกรรมขนส่ง",3(3-0-6),T05
74,01203381-60,"Computer Applications in Civil Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมโยธา",1(0-3-2),T05
75,01203399-60,"Internship 
การฝึกงาน",1,T05
76,01203471-60,"Highway Engineering 
วิศวกรรมการทาง",3(3-0-6),T05
77,01203495-60,"Civil Engineering Project Preparation 
การเตรียมการโครงงานวิศวกรรมโยธา",1(0-3-2),T05
78,01203497-60,"Seminar 
สัมมนา",1,T05
79,01203499-60,"Civil Engineering Project 
โครงงานวิศวกรรมโยธา",1(0-3-2),T05
80,01204112-60,"Information Technology for Engineers 
เทคโนโลยีสารสนเทศสำหรับวิศวกร",1(1-2-0),T05
81,01209211-60,"Fluid Mechanics 
กลศาสตร์ของของไหล",3(3-0-6),T05
82,01209312-60,"Laboratory for Fluid Mechanics 
ปฏิบัติการสำหรับวิชากลศาสตร์ของของไหล",1(0-3-2),T05
83,01209242-60,"Hydrology for Civil Engineering 
อุทกวิทยาสำหรับวิศวกรรมโยธา",2(2-0-4),T05
84,01209423-60,"Hydraulic Engineering 
วิศวกรรมชลศาสตร์",3(3-0-6),T05
85,01203311-60,"Engineering Surveying Technology 
เทคโนโลยีการสำรวจทางวิศวกรรม",3(2-3-6),T05
86,01203312-60,"Photogrammetry 
การสำรวจด้วยภาพถ่าย",3(2-3-6),T05
87,01203411-60,"Aerial Photography Interpretation 
การแปลภาพถ่ายทางอากาศ",3(2-3-6),T05
88,01203415-60,"Remote Sensing for Engineers 
การสำรวจข้อมูลระยะไกลสำหรับวิศวกร",3(2-3-6),T05
89,01203416-60,"Geographic Information Systems for Engineers 
ระบบสารสนเทศภูมิศาสตร์สำหรับวิศวกร",3(2-3-6),T05
90,01203417-60,"Satellite Surveying for Engineers 
การสำรวจด้วยดาวเทียมสำหรับวิศวกร",3(2-3-6),T05
91,01203490-60,"Co-operative Education 
สหกิจศึกษา",6,T05
92,01203496-60,"Selected Topics in Civil Engineering 
เรื่องเฉพาะทางวิศวกรรมโยธา",45352,T05
93,01203421-60,"Computer Applications in Structural Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมโครงสร้าง",3(2-3-6),T05
94,01203422-60,"Structural Damage and Rehabilitation 
ความเสียหายของโครงสร้างและการฟื้นฟูสภาพ",3(3-0-6),T05
95,01203431-60,"Prestressed Concrete Design 
การออกแบบคอนกรีตอัดแรง",3(3-0-6),T05
96,01203432-60,"Bridge Structural Design 
การออกแบบโครงสร้างสะพาน",3(3-0-6),T05
97,01203433-60,"Building Structural Design 
การออกแบบโครงสร้างอาคาร",3(2-3-6),T05
98,01203434-60,"Structural Steel Technology 
เทคโนโลยีของเหล็กโครงสร้าง",3(3-0-6),T05
99,01203451-60,"Analysis and Design of Earth Structures 
การวิเคราะห์และออกแบบโครงสร้างดิน",3(3-0-6),T05
100,01203452-60,"Engineering Soil Exploration 
การสำรวจดินทางวิศวกรรม",3(2-3-6),T05
101,01203453-60,"Principles of Geomechanics 
หลักการธรณีกลศาสตร์",3(3-0-6),T05
