รหัสวิชา,ชื่อวิชา,หน่วยกิจ
03603323-55,"Embedded Systems
ระบบฝังตัว",3(3-0-6)
03603351-55,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6)
03603372-55,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6)
03603423-55,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6)
03603424-55,"Computer Networks Laboratory I
ปฏิบัติการเครือข่ายคอมพิวเตอร์ I",1(0-3-2)
03603425-55,"Computer Networks Laboratory II
ปฏิบัติการเครือข่ายคอมพิวเตอร์ II",1(0-3-2)
03603426-55,"Computer Security
ความปลอดภัยในระบบคอมพิวเตอร์",3(3-0-6)
03603427-55,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6)
03603428-55,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6)
03603432-55,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6)
03603451-55,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6)
03603461-55,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6)
03603463-55,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6)
03603471-55,"Microcomputer Interfacing
การเชื่อมต่อกับไมโครคอมพิวเตอร์",3(3-0-6)
03603481-55,"Computer Graphics
คอมพิวเตอร์กราฟิกส์",3(3-0-6)
03603484-55,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6)
03603485-55,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6)
03603422-55,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6)
03603411-55,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6)
03603441-55,"Object-Oriented Analysis and Design
การวิเคราะห์และออกแบบเชิงวัตถุ",3(3-0-6)
03603482-55,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6)
03603464-55,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6)
03603496-55,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",45294
03603498-55,"Special Problems
ปัญหาพิเศษ",45294
03601204-60,"Electric Circuit Analysis for Computer Engineers
การวิเคราะห์วงจรไฟฟ้าสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03601205-60,"Electric Circuit Laboratory for Computer Engineers
ปฏิบัติการวงจรไฟฟ้าสำหรับวิศวกรคอมพิวเตอร์",1(0-3-2)
03603111-60,"Programming Fundamentals I
หลักการโปรแกรมเบื้องต้น l",3(2-3-6)
03603112-60,"Programming Fundamentals II
หลักการโปรแกรมเบื้องต้น II",3(2-3-6)
03603171-60,"Introduction to Computer Engineering and Informatics
วิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์เบื้องต้น",3(3-0-6)
03603352-60,"Laws and Ethics in Information Technology
กฏหมายและจริยธรรทางเทคโนโลยีสารสนเทศ",3(3-0-6)
03603251-60,"Database Systems
ระบบฐานข้อมูล",3(3-0-6)
03603252-60,"Database Systems Laboratory
ปฏิบัติการระบบฐานข้อมูล",1(0-3-2)
03603212-60,"Abstract Data Types and Problem Solving
แบบชนิดข้อมูลนามธรรมและการแก้ปัญหา",3(3-0-6)
03603213-60,"Algorithm Design and Analysis
การออกแบบและวิเคราะห์ขั้นตอนวิธี",3(3-0-6)
03603214-60,"Programming Skills Development Laboratory
ปฏิบัติการพัฒนาทักษะการโปรแกรม",1(0-3-2)
03603341-60,"Software Engineering
วิศวกรรมซอฟต์แวร์",4(3-3-8)
03603211-60,"Discrete Mathematics
วิยุตคณิต",3(3-0-6)
03603312-60,"Probability and Statistics for Informatics
ความน่าจะเป็นและสถิติสำหรับสารสนเทศศาสตร์",3(3-0-6)
03603325-60,"Data Communications and Computer Networks
การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์",3(3-0-6)
03603332-60,"Operating Systems
ระบบปฏิบัติการ",3(3-0-6)
03601203-60,"Electronics for Computer Engineers
อิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03601303-60,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2)
03603221-60,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6)
03603222-60,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2)
03603223-60,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6)
03603323-60,"Introduction to Embedded Systems
ระบบฝังตัวเบื้องต้น",3(3-0-6)
03603324-60,"Embedded Systems Laboratory
ปฏิบัติการระบบฝังตัว",1(0-3-2)
03603299-60,"Exploratory Project in Computing
โครงงานเชิงสำรวจทางวิชาการคอมพิวเตอร์",1(0-3-2)
03603497-60,"Seminar
สัมมนา",1
03603421-60,"Internetworking with TCP/IP
การเชื่อมต่อเครือข่ายด้วยที่ซีพี/ไอพี",3(3-0-6)
03603422-60,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6)
03603423-60,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6)
03603424-60,"Computer Networks Laboratory I
ปฏิบัติการเครือข่ายคอมพิวเตอร์ I",1(0-3-2)
03603425-60,"Computer Networks Laboratory II
ปฏิบัติการเครือข่ายคอมพิวเตอร์ II",1(0-3-2)
03603426-60,"Computer Security
ความปลอดภัยในระบบคอมพิวเตอร์",3(3-0-6)
03603427-60,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6)
03603428-60,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6)
03603411-60,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6)
03603435-60,"Cloud Computing
การคำนวณแบบกลุ่มเมฆ",3(3-0-6)
03603436-60,"Web Application Development
การพัฒนาโปรแกรมประยุกต์บนเว็บ",3(3-0-6)
03603437-60,"Mobile Application Development
การพัฒนาโปรแกรมประยุกต์เคลื่อนที่",3(3-0-6)
03603441-60,"Object-Oriented Analysis and Design
การวิเคราะห์และออกแบบเชิงวัตถุ",3(3-0-6)
03603482-60,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6)
03603484-60,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6)
01204213-60,"Theory of Computaiton
ทฤษฏีการคำนวณ",3(3-0-6)
03603351-60,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6)
03603452-60,"Data Mining
การทำเหมืองข้อมูล",3(3-0-6)
03603461-60,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6)
03603462-60,"Statistical Learning
การเรียนรู้เชิงสถิติ",3(3-0-6)
03603463-60,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6)
03603371-60,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03603372-60,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6)
03603464-60,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6)
03603481-60,"Computer Graphics
เรขภาพคอมพิวเตอร์",3(3-0-6)
03603485-60,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6)
03603495-60,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2)
03603499-60,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3)
03603432-60,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6)
03603451-60,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6)
03603471-60,"Embedded Systems Interfacing
การเชื่อมต่อกับระบบฝังตัว",3(3-0-6)
03603496-60,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1
03603498-60,"Special Problems
ปัญหาพิเศษ",1
03601204-65,"Electric Circuit Analysis for Computer Engineers
การวิเคราะห์วงจรไฟฟ้าสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03601205-65,"Electric Circuit Laboratory for Computer Engineers
ปฏิบัติการวงจรไฟฟ้าสำหรับวิศวกรคอมพิวเตอร์",1(0-3-2)
03603111-65,"Programming Fundamentals I
หลักการโปรแกรมเบื้องต้น l",3(2-3-6)
03603112-65,"Programming Fundamentals II
หลักการโปรแกรมเบื้องต้น II",3(2-3-6)
03603171-65,"Introduction to Computer Engineering and Informatics
วิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์เบื้องต้น",3(3-0-6)
03603352-65,"Laws and Ethics in Information Technology
กฏหมายและจริยธรรทางเทคโนโลยีสารสนเทศ",3(3-0-6)
03603251-65,"Database Systems
ระบบฐานข้อมูล",3(3-0-6)
03603252-65,"Database Systems Laboratory
ปฏิบัติการระบบฐานข้อมูล",1(0-3-2)
03603212-65,"Abstract Data Types and Problem Solving
แบบชนิดข้อมูลนามธรรมและการแก้ปัญหา",3(3-0-6)
03603213-65,"Algorithm Design and Analysis
การออกแบบและวิเคราะห์ขั้นตอนวิธี",3(3-0-6)
03603214-65,"Programming Skills Development Laboratory
ปฏิบัติการพัฒนาทักษะการโปรแกรม",1(0-3-2)
03603241-65,"Application Development
การพัฒนาโปรแกรมประยุกต์",3(3-0-6)
03603341-65,"Software Engineering
วิศวกรรมซอฟต์แวร์",4(3-3-8)
03603342-65,"Combined Information Technology for Software Development Laboratory
ปฏิบัตการผสานเทคโนโลยีสารสนเทศเพื่อการพัฒนาซอฟต์แวร์",1(0-3-2)
03603211-65,"Discrete Mathematics
วิยุตคณิต",3(3-0-6)
03603312-65,"Probability and Statistics for Informatics
ความน่าจะเป็นและสถิติสำหรับสารสนเทศศาสตร์",3(3-0-6)
03603325-65,"Data Communications and Computer Networks
การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์",3(3-0-6)
03603332-65,"Operating Systems
ระบบปฏิบัติการ",3(3-0-6)
03601203-65,"Electronics for Computer Engineers
อิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03601303-65,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2)
03603221-65,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6)
03603222-65,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2)
03603223-65,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6)
03603323-65,"Introduction to Embedded Systems
ระบบฝังตัวเบื้องต้น",3(3-0-6)
03603324-65,"Embedded Systems Laboratory
ปฏิบัติการระบบฝังตัว",1(0-3-2)
03603497-65,"Seminar
สัมมนา",1
03603321-65,"Computer Networks Laboratory
ปฏิบัติการเครือข่ายคอมพิวเตอรื",3(1-6-6)
03603421-65,"Internetworking with TCP/IP
การเชื่อมต่อเครือข่ายด้วยที่ซีพี/ไอพี",3(3-0-6)
03603422-65,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6)
03603423-65,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6)
03603426-65,"Cyber Security
ความมั่นคงปลอดภัยไซเบอร์",3(3-0-6)
03603427-65,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6)
03603428-65,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6)
03603429-65,"Cryptography and Blockchain Technology
วิทยาการเข้ารหัสลับและเทคโนโลยีบบล็อกเชน",3(3-0-6)
03603411-65,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6)
03603435-65,"Cloud Computing
การคำนวณแบบกลุ่มเมฆ",3(3-0-6)
03603436-65,"Web Application Development
การพัฒนาโปรแกรมประยุกต์บนเว็บ",3(3-0-6)
03603437-65,"Mobile Application Development
การพัฒนาโปรแกรมประยุกต์เคลื่อนที่",3(3-0-6)
03603482-65,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6)
03603484-65,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6)
03603441-65,"Software Testing
การทดสอบซอฟต์แวร์",3(3-0-6)
01204213-65,"Theory of Computaiton
ทฤษฏีการคำนวณ",3(3-0-6)
03603351-65,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6)
03603452-65,"Mining Big Data
การทำเหมืองข้อมูลบิ๊กดาต้า",3(3-0-6)
03603461-65,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6)
03603462-65,"Machine Learning
การเรียนรู้ของเครื่อง",3(3-0-6)
03603463-65,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6)
03603465-65,"Natural Language Processing
การประมวลผลภาษาธรรมชาติ",3(3-0-6)
03603381-65,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03603382-65,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6)
03603383-65,"Digital Identification
การระบุตัวตนดิจิทัล",3(3-0-6)
03603464-65,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6)
03603481-65,"Computer Graphics
เรขภาพคอมพิวเตอร์",3(3-0-6)
03603485-65,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6)
03603371-65,"Application Development for Embedded Devices
การพัฒนาโปรแกรมประยุกต์บนอุปกรณ์ฝังตัว",3(3-0-6)
03603471-65,"Embedded Systems Interfacing
การเชื่อมต่อกับระบบฝังตัว",3(3-0-6)
03603472-65,"Industrial Automation and Control
ระบบอัตโนมัติและการควบคุมทางอุตสาหกรรม",3(3-0-6)
03603473-65,"Digital Circuit Design with VHDL
การออกแบบวงจรดิจิทัลด้วยวีเอชดีแอล",3(3-0-6)
03603474-65,"Real-Time Operating System
ระบบปฏิบัติการเวลาจริง",3(3-0-6)
03603475-65,"Sensors and Transducer
อุปกรณ์รับรู้และตัวแปรสัญญาณ",3(3-0-6)
03603476-65,"Embedded System Circuit Design
การออกแบบวงจรระบบสมองกลฝังตัว",3(3-0-6)
03603495-65,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2)
03603499-65,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3)
03603432-65,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6)
03603451-65,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6)
03603496-65,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1
03603498-65,"Special Problems
ปัญหาพิเศษ",1
03600014-55,"Creative Problem Solving and Critical Thinking Skills 
การแก้ปัญหาเชิงสร้างสรรค์และทักษะการคิดเชิงวิพากษ์",3(3-0-6)
01999011-55,"Food for Mankind 
อาหารเพื่อมนุษย์ชาติ",3(3-0-6)
01999012-55,"Health for Life 
สุขภาพเพื่อชีวิต",3(3-0-6)
01999213-55,"Environment, Technology and Life 
สิ่งแวดล้อม เทคโนโลยีและชีวิต",3(3-0-6)
01355xxx-55,"English 
ภาษาอังกฤษ",9( - - )
01999041-55,"Economics for Better Living 
เศรษฐศาสตร์เพื่อการดำเนินชีวิตที่ดี",3(3-0-6)
01999141-55,"Man and Society 
มนุษย์กับสังคม",3(3-0-6)
01999031-55,"The Heritage of World Civilizations 
มรดกอารยธรรมโลก",3(3-0-6)
01999032-55,"Thai Studies 
ไทยศึกษา",3(3-0-6)
01999033-55,"Arts of Living 
ศิลปะการดำเนินชีวิต",3(3-0-6)
03601191-55,"Electrical Engineering Orientation 
แนะแนวทางวิศวกรรมไฟฟ้า",2(1-3-4)
03601211-55,"Electric Circuit Analysis I 
การวิเคราะห์วงจรไฟฟ้า I",3(3-0-6)
03601212-55,"Electric Circuit Analysis II 
การวิเคราะห์วงจรไฟฟ้า II",3(3-0-6)
03601213-55,"Electric Circuit Laboratory 
ปฏิบัติการวงจรไฟฟ้า",1(0-3-2)
03601214-55,"Applied Linear Algebra in Electrical Engineering 
พีชคณิตเชิงเส้นประยุกต์ทางวิศวกรรมไฟฟ้า",3(3-0-6)
03601215-55,"Applied Probability for Electrical Engineers 
ความน่าจะเป็นประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6)
03601231-55,"Electronic Circuits and Systems I 
วงจรและระบบอิเล็กทรอนิกส์ I",3(3-0-6)
03601232-55,"Digital Circuits and Logic Design 
การออกแบบวงจรดิจิทัลและตรรกะ",3(3-0-6)
03601251-55,"Electromechanical Energy Conversion I 
การแปลงผันพลังงานเครื่องกลไฟฟา I",3(3-0-6)
03601252-55,"Electromechanical Energy Conversion Laboratory I 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟา I",1(0-3-2)
03601281-55,"Computer Programming for Electrical Engineers 
การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกรไฟฟ้า",3(3-0-6)
03601311-55,"Signals and Systems 
สูญญาณและระบบ",3(3-0-6)
03601321-55,"Principles of Communications 
หลักการสิ่อสาร",3(3-0-6)
03601331-55,"Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์",1(0-3-2)
03601332-55,"Microprocessors 
ไมโครโพรเซสเซอร์",3(3-0-6)
03601333-55,"Microprocessors Laboratory 
ปฏิบัติการไมโครโพรเซสเซอร์",1(0-3-2)
03601341-55,"Electromagnetic Fields and Waves I 
สนามแม่เหล็กไฟฟ้าและคลื่น I",3(3-0-6)
03601361-55,"Electrical Instruments and Measurements I 
เครื่องมือวัดและการวัดทางไฟฟ้า I",3(3-0-6)
03601362-55,"Linear Control Systems 
ระบบควบคุมเชิงเส้น",3(3-0-6)
03601495-55,"Electrical and Electronics Engineering Project I 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ I",1(0-3-2)
03601497-55,"Seminar 
สัมมนา",1
03601499-55,"Electrical and Electronics Engineering Project II 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ II",2(0-6-3)
03601314-55,"Digital Signal Processing 
การประมวลสัญญาณดิจิทัล",3(3-0-6)
03601315-55,"Digital Signal Processing Laboratory 
ปฏิบัติการประมวลสัญญาณดิจิทัล",1(0-3-2)
03601323-55,"Communication Laboratory 
ปฏิบัติการไฟฟ้าสื่สาร",1(0-3-2)
03601334-55,"Electronic Circuits and Systems II 
วงจรและระบบอิเล็กทรอนิกส์ II",3(3-0-6)
03601336-55,"Electronic Circuit Design 
การออกแบบวงจรอิเล็กทรอนิกส์",3(3-0-6)
03601351-55,"Electromechanical Energy Conversion II 
การแปลงผันพลังงานเครื่องกลไฟฟ้า II",3(3-0-6)
03601352-55,"Electromechanical Energy Conversion Laboratory II 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟ้า II",3(3-0-6)
03601353-55,"Power Systems in Buildings 
ระบบกำลังในอาคาร",3(3-0-6)
03601354-55,"Electric Power Systems Analysis I 
การวิเคราะห์ระบบไฟฟ้ากำลัง I",3(3-0-6)
03601355-55,"High-Voltage Engineering 
วิศวกรรมไฟฟ้าแรงสูง",3(3-0-6)
03601356-55,"Illumination Engineering 
วิศวกรรมการส่องสว่าง",3(3-0-6)
03601363-55,"Control and Measurement Laboratory 
ปฏิบัติการการควบคุมและการวัด",1(0-3-2)
03601364-55,"Industrial Automation Systems 
ระบบอัตโนมัติทางอุตสาหกรรม",3(3-0-6)
03601365-55,"Industrial Automation Systems Laboratory 
ปฏิบัติการระบบอัตโนมัติทางอุตสาหกรรม",1(0-3-2)
03601432-55,"Analog Integrated Circuit Application Designs 
การออกแบบประยุกต์วงจรรวมแอนะล็อก",3(3-0-6)
03601433-55,"Industrial Electronics 
อิเล็กทรอนิกส์อุตสาหกรรม",3(3-0-6)
03601451-55,"Basic Power System Reliability 
ความเชื่อถือได้เบื่องตนของระบบกำลัง",3(3-0-6)
03601452-55,"Electric Power Plants 
โรงจักรไฟฟ้ากำลัง",3(3-0-6)
03601453-55,"Electric Power Systems Analysis II 
การวิเคราะห์ระบบไฟฟ้ากำลัง II",3(3-0-6)
03601454-55,"Electric Power Systems Analysis Laboratory 
ปฏิบัติการการวิเคราะห์ระบบไฟฟ้า",1(0-3-2)
03601456-55,"Power System Protection 
การป้องกันระบบไฟฟ้ากำลัง",3(3-0-6)
03601457-55,"Electrical Systems and Signal Systems in Building 
ระบบไฟฟ้าและระบบสัญญาณในอาคาร",3(3-0-6)
03601458-55,"Electrical Power Generation, Transmission and Distribution 
การผลิต สูง และจำหน่ายกำลังไฟฟ้า",3(3-0-6)
03601461-55,"Process Control 
การควบคุมกระบวนการ",3(3-0-6)
03601462-55,"Industrial Sensors and Control Devices 
เซนเซอร์ทางอุตสาหกรรมและอุปกรณ์ควบคุม",3(3-0-6)
03601471-55,"Analysis and Applications of Electrical Machines 
การวิเคราะห์และประยุกต์เครื่องจักรไฟฟ้า",3(3-0-6)
03601472-55,"Electric Drives 
การขับเคลื่อนด้วยไฟฟ้า",3(3-0-6)
03601473-55,"Power Electronics 
อิเล็กทรอนิกส์กำลัง",3(3-0-6)
03601474-55,"Power Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์กำลัง",1(0-3-2)
03601475-55,"Power Electronics for Energy Conservation 
อิเล็กทรอนิกส์กำลังสำหรับการอนุรักษ์พลังงาน",3(3-0-6)
03601476-55,"Distributed Generation Systems 
ระบบผลิตไฟฟ้าจำหน่าย",3(3-0-6)
03601477-55,"Renewable Energy 
พลังงานหมุนเวียน",3(3-0-6)
03601478-55,"Energy Conservation and Management 
การอนุรักษ์และการจัดการพลังงาน",3(3-0-6)
03601479-55,"Electric Vehicle Systems 
ระบบยานยนต์ไฟฟ้า",3(3-0-6)
03601482-55,"Thermal Sciences 
อุณหศาสตร์",3(3-0-6)
03601496-55,"Selected Topics in Electrical and Electronics Engineering 
เรื่องเฉพาะทางวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6)
03601498-55,"Special Problems 
ปัญหาพิเศษ",45352
01175xxx-60,กิจกรรมพลศึกษา,1(0-2-1)
xxxxxxxx-60,กลุ่มสาระอยู่ดีมีสุข,2
01355111-60,"Foundation English I 
ภาษาอังกฤษ I",-
01355112-60,"Foundation English II 
ภาษาอังกฤษพื้นฐาน II",3(3-0-6)
01355113-60,"Foundation English III 
ภาษาอังกฤษพื้นฐาน III",3(3-0-6)
01355xxx-60,กลุ่มวิชาภาษาอังกฤษ,3(3-0-6)
03601211-60,"Electric Circuit Analysis I 
การวิเคราะห์วงจรไฟฟ้า I",3(3-0-6)
03601212-60,"Electric Circuit Analysis II 
การวิเคราะห์วงจรไฟฟ้า II",3(3-0-6)
03601213-60,"Electric Circuit Laboratory 
ปฏิบัติการวงจรไฟฟ้า",1(0-3-2)
03601214-60,"Applied Linear Algebra in Electrical Engineering 
พีชคณิตเชิงเส้นประยุกต์ทางวิศวกรรมไฟฟ้า",3(3-0-6)
03601215-60,"Applied Probability for Electrical Engineers 
ความน่าจะเป็นประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6)
03601231-60,"Electronic Circuits and Systems I 
วงจรและระบบอิเล็กทรอนิกส์ I",3(3-0-6)
03601232-60,"Digital Circuits and Logic Design 
การออกแบบวงจรดิจิทัลและตรรกะ",3(3-0-6)
03601251-60,"Electromechanical Energy Conversion I 
การแปลงผันพลังงานเครื่องกลไฟฟา I",3(3-0-6)
03601252-60,"Electromechanical Energy Conversion Laboratory I 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟา I",1(0-3-2)
03601271-60,"Practice in Electrical Engineering 
การปฏิบัติงานทางวิศวกรรมไฟฟ้า",1(0-3-2)
03601311-60,"Signals and Systems 
สูญญาณและระบบ",3(3-0-6)
03601331-60,"Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์",1(0-3-2)
03601332-60,"Microprocessors 
ไมโครโพรเซสเซอร์",3(3-0-6)
03601341-60,"Electromagnetic Fields and Waves I 
สนามแม่เหล็กไฟฟ้าและคลื่น I",3(3-0-6)
03601361-60,"Electrical Instruments and Measurements I 
เครื่องมือวัดและการวัดทางไฟฟ้า I",3(3-0-6)
03601362-60,"Linear Control Systems 
ระบบควบคุมเชิงเส้น",3(3-0-6)
03601371-60,"Internship Preparation 
การเตรียมความพร้อมก่อนฝึกงาน",1(0-3-2)
03601495-60,"Electrical and Electronics Engineering Project I 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ I",1(0-3-2)
03601497-60,"Seminar 
สัมมนา",1
03601499-60,"Electrical and Electronics Engineering Project II 
โครงงานวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์ II",2(0-6-3)
03601314-60,"Digital Signal Processing 
การประมวลสัญญาณดิจิทัล",3(3-0-6)
03601315-60,"Digital Signal Processing Laboratory 
ปฏิบัติการประมวลสัญญาณดิจิทัล",1(0-3-2)
03601321-60,"Principles of Communications 
หลักการสื่อสาร",3(3-0-6)
03601323-60,"Communication Laboratory 
ปฏิบัติการไฟฟ้าสื่สาร",1(0-3-2)
03601333-60,"Microprocessors Laboratory 
ปฏิบัติการไมโครโพรเซสเซอร์",1(0-3-2)
03601334-60,"Electronic Circuits and Systems II 
วงจรและระบบอิเล็กทรอนิกส์ II",3(3-0-6)
03601335-60,"Advanced Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์ขั้นสูง",1(0-3-2)
03601351-60,"Electromechanical Energy Conversion II 
การแปลงผันพลังงานเครื่องกลไฟฟ้า II",3(3-0-6)
03601352-60,"Electromechanical Energy Conversion Laboratory II 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟ้า II",1(0-3-2)
03601353-60,"Power Systems in Buildings 
ระบบกำลังในอาคาร",3(3-0-6)
03601354-60,"Electric Power Systems Analysis I 
การวิเคราะห์ระบบไฟฟ้ากำลัง I",3(3-0-6)
03601355-60,"High-Voltage Engineering 
วิศวกรรมไฟฟ้าแรงสูง",3(3-0-6)
03601356-60,"Illumination Engineering 
วิศวกรรมการส่องสว่าง",3(3-0-6)
03601363-60,"Control and Measurement Laboratory 
ปฏิบัติการการควบคุมและการวัด",1(0-3-2)
03601364-60,"Industrial Automation Systems 
ระบบอัตโนมัติทางอุตสาหกรรม",3(3-0-6)
03601365-60,"Industrial Automation Systems Laboratory 
ปฏิบัติการระบบอัตโนมัติทางอุตสาหกรรม",1(0-3-2)
03601372-60,"Volunteer Electrical Engineer for Social Development 
วิศวกรไฟฟ้าอาสาสําหรับการพัฒนาสังคม",3(3-0-6)
03601381-60,"Computer Programming for Electrical Engineers 
การเขียนโปรแกรมคอมพิวเตอร์สําหรับวิศวกรไฟฟ้า",3(3-0-6)
