รหัสวิชา,ชื่อวิชา,หน่วยกิจ
01420112-56,"General Physics II 
ฟิสิกส์ทั่วไป II",3(3-0-6)
01420113-56,"Laboratory in Physics I 
ปฏิบัติการฟิสิกส์ I",1(0-3-2)
01420114-56,"Laboratory in Physics II 
ปฏิบัติการฟิสิกส์ทั่ว II",1(0-3-2)
01203211-56,"Surveying 
การสำรวจ",3(2-3-6)
01203212-56,"Survey Camp 
การฝึกงานสำรวจ",1
01203221-56,"Mechanics of Materials I 
กลศาสตร์ของวัสดุ I",3(3-0-6)
01203222-56,"Structural Analysis I 
การวิเคราะห์โครงสร้าง I",3(3-0-6)
01203223-56,"Mechanics of Materials II 
กลศาสตร์ของวัสดุ III",3(3-0-6)
01203224-56,"Applied Mathematics for Civil Engineering 
คณิตศาสตร์ประยุกต์สำหรับวิศวกรรมโยธา",3(3-0-6)
01203231-56,"Concrete and Engineering Materials 
คอนกรีตและวัสดุวิศวกรรม",3(2-3-6)
01203251-56,"Engineering Geology 
ธรณีวิทยาทางวิศวกรรม",3(3-0-6)
01203322-56,"Civil Engineering Materials Testing Laboratory 
ปฏิบัติการทดสอบวัสดุวิศวกรรมโยธา",1(0-3-2)
01203323-56,"Structural Analysis II 
การวิเคราะห์โครงสร้าง II",3(3-0-6)
01203331-56,"Reinforced Concrete Design 
การออกแบบคอนกรีตเสริมเหล็ก",4(3-3-8)
01203333-56,"Design of Timber and Steel Structures 
การออกแบบโครงสร้างไม้และเหล็ก",4(3-3-8)
01203352-56,"Soil Mechanics 
ปฐพีกลศาสตร์",3(3-0-6)
01203353-56,"Soil Mechanics Laboratory 
ปฏิบัติการปฐพีกลศาสตร์",1(0-3-2)
01203354-56,"Foundation Design 
การออกแบบฐานราก",3(3-0-6)
01203361-56,"Construction Engineering and Management 
วิศวกรรมก่อสร้างและการจัดการ",3(3-0-6)
01203371-56,"Transportation Engineering 
วิศวกรรมขนส่ง",3(3-0-6)
01203381-56,"Computer Applications in Civil Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมโยธา",1(0-3-2)
01203399-56,"Internship 
การฝึกงาน",1
01203471-56,"Highway Engineering 
วิศวกรรมการทาง",3(3-0-6)
01203495-56,"Civil Engineering Project Preparation 
การเตรียมการโครงงานวิศวกรรมโยธา",1(0-3-2)
