รหัสวิชา,ชื่อวิชา,หน่วยกิจ,
03603428-55,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),
03603432-55,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6),
03603451-55,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6),
03603461-55,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6),
03603463-55,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6),
03603471-55,"Microcomputer Interfacing
การเชื่อมต่อกับไมโครคอมพิวเตอร์",3(3-0-6),
03603481-55,"Computer Graphics
คอมพิวเตอร์กราฟิกส์",3(3-0-6),
03603484-55,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6),
03603485-55,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6),
03603422-55,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6),
03603411-55,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6),
03603441-55,"Object-Oriented Analysis and Design
การวิเคราะห์และออกแบบเชิงวัตถุ",3(3-0-6),
03603482-55,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6),
03603464-55,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6),
03603496-55,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",45294,
03600490-55,"Cooperative Education
สหกิจศึกษา",6,
03603498-55,"Special Problems
ปัญหาพิเศษ",45294,
03600014-60,"Creative Problem Solving and Critical Thinking Skills
การแก้ปัญหาเชิงสร้างสรรค์และทักษะการคิดเชิงวิพากษ์",3(3-0-6),
01999021-60,"Thai Language for Communication
ภาษาไทยเพื่อการสื่อสาร",3(3-0-6),
03600013-60,"Essential Computer Tools and Skills
เครื่องมือและทักษะทางคอมพิวเตอร์ที่จำเป็น",1(0-3-2),
03754111-60,"Fundamental English I
ภาษาอังกฤษ 1 (ไม่นับหน่วยกิต)",3(3-0-6),
03754112-60,"Fundamental English II
ภาษาอังกฤษ II",3(3-0-6),
03754113-60,"Fundamental English III
ภาษาอังกฤษ III",3(3-0-6),
03754xxx-60,กลุ่มวิชาภาษาอังกฤษเลือก (03754xxx),3(3-0-6),
01999111-60,"Knowledge of the Land
ศาสตร์แห่งแผ่นดิน",2(2-0-4),
03600012-60,"Green Technology
เทคโนโลยีสีเขียว",3(3-0-6),
01417167-60,"Engineering Mathematics I
คณิตศาสตร์วิศวกรรม I",3(3-0-6),
01417168-60,"Engineering Mathematics II
คณิตศาสตร์วิศวกรรม II",3(3-0-6),
01417267-60,"Engineering Mathematics III
คณิตศาสตร์วิศวกรรม III",3(3-0-6),
01420111-60,"General Physics I
ฟิสิกส์ทั่วไป I",3(3-0-6),
01420112-60,"General Physics II
ฟิสิกส์ทั่วไป II",3(3-0-6),
01420113-60,"Laboratory in Physics I
ปฏิบัติการฟิสิกส์ I",1(0-3-2),
01420114-60,"Laboratory in Physics II
ปฏิบัติการฟิสิกส์ II",1(0-3-2),
03601204-60,"Electric Circuit Analysis for Computer Engineers
การวิเคราะห์วงจรไฟฟ้าสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03601205-60,"Electric Circuit Laboratory for Computer Engineers
ปฏิบัติการวงจรไฟฟ้าสำหรับวิศวกรคอมพิวเตอร์",1(0-3-2),
03603111-60,"Programming Fundamentals I
หลักการโปรแกรมเบื้องต้น l",3(2-3-6),
03603112-60,"Programming Fundamentals II
หลักการโปรแกรมเบื้องต้น II",3(2-3-6),
03604111-60,"Engineering Drawing
การเขียนแบบทางวิศวกรรม",3(2-3-6),
03603171-60,"Introduction to Computer Engineering and Informatics
วิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์เบื้องต้น",3(3-0-6),
03603352-60,"Laws and Ethics in Information Technology
กฏหมายและจริยธรรทางเทคโนโลยีสารสนเทศ",3(3-0-6),
03603251-60,"Database Systems
ระบบฐานข้อมูล",3(3-0-6),
03603252-60,"Database Systems Laboratory
ปฏิบัติการระบบฐานข้อมูล",1(0-3-2),
03603212-60,"Abstract Data Types and Problem Solving
แบบชนิดข้อมูลนามธรรมและการแก้ปัญหา",3(3-0-6),
03603213-60,"Algorithm Design and Analysis
การออกแบบและวิเคราะห์ขั้นตอนวิธี",3(3-0-6),
03603214-60,"Programming Skills Development Laboratory
ปฏิบัติการพัฒนาทักษะการโปรแกรม",1(0-3-2),
03603341-60,"Software Engineering
วิศวกรรมซอฟต์แวร์",4(3-3-8),
03603211-60,"Discrete Mathematics
วิยุตคณิต",3(3-0-6),
03603312-60,"Probability and Statistics for Informatics
ความน่าจะเป็นและสถิติสำหรับสารสนเทศศาสตร์",3(3-0-6),
03603325-60,"Data Communications and Computer Networks
การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์",3(3-0-6),
03603332-60,"Operating Systems
ระบบปฏิบัติการ",3(3-0-6),
03601203-60,"Electronics for Computer Engineers
อิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03601303-60,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2),
03603221-60,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6),
03603222-60,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2),
03603223-60,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6),
03603323-60,"Introduction to Embedded Systems
ระบบฝังตัวเบื้องต้น",3(3-0-6),
03603324-60,"Embedded Systems Laboratory
ปฏิบัติการระบบฝังตัว",1(0-3-2),
03603299-60,"Exploratory Project in Computing
โครงงานเชิงสำรวจทางวิชาการคอมพิวเตอร์",1(0-3-2),
03603497-60,"Seminar
สัมมนา",1,
03603421-60,"Internetworking with TCP/IP
การเชื่อมต่อเครือข่ายด้วยที่ซีพี/ไอพี",3(3-0-6),
